date,open,high,low,close,volume
2025-08-04 00:00:00,97453.3849,98570.9207,97403.4783,97705.5317,1.0
2025-08-04 01:00:00,97695.7061,98276.3316,97406.9712,98006.7366,1.0
2025-08-04 02:00:00,97979.0475,98141.0266,96954.45,97609.127,1.0
2025-08-04 03:00:00,97626.1251,98703.2092,97626.1251,98428.8503,1.0
2025-08-04 04:00:00,98428.7944,98516.3856,97304.3099,97541.1919,1.0
2025-08-04 05:00:00,97528.9481,97718.8098,96707.2836,97376.9775,1.0
2025-08-04 06:00:00,97367.4628,98450.8386,97090.3892,98221.9618,1.0
2025-08-04 07:00:00,98196.8764,98239.1583,97123.4649,97666.7101,1.0
2025-08-04 08:00:00,97686.3477,97983.3455,97364.6397,97642.3215,1.0
2025-08-04 09:00:00,97656.4314,97665.5312,97083.2647,97090.2551,1.0
2025-08-04 10:00:00,97076.8221,99014.1912,97000.4585,98856.686,1.0
2025-08-04 11:00:00,98828.262,99789.4439,98569.4207,99443.9368,1.0
2025-08-04 12:00:00,99427.4031,99477.724,98597.0915,98597.0915,1.0
2025-08-04 13:00:00,98590.6701,99458.9638,97822.1939,99458.9638,1.0
2025-08-04 14:00:00,99487.7793,100175.3953,99399.2531,99737.2633,1.0
2025-08-04 15:00:00,99732.7752,100393.8845,99014.6158,99777.6922,1.0
2025-08-04 16:00:00,99796.0485,100453.6565,99605.9628,100079.6664,1.0
2025-08-04 17:00:00,100063.8075,100621.034,99823.1057,100143.2126,1.0
2025-08-04 18:00:00,100155.6958,100670.1779,99693.1269,100274.6826,1.0
2025-08-04 19:00:00,100287.9512,101169.0492,100269.347,100875.0713,1.0
2025-08-04 20:00:00,100889.4736,101478.9793,100284.647,100284.647,1.0
2025-08-04 21:00:00,100285.9075,100285.9075,98283.5375,98577.9588,1.0
2025-08-04 22:00:00,98593.3329,99031.875,97765.4774,98634.9865,1.0
2025-08-04 23:00:00,98646.7029,99116.7793,98398.1653,99108.0406,1.0
2025-08-05 00:00:00,99126.0543,99359.8885,98507.413,99033.3443,1.0
